"generator_index","generator_sample_index","m","n","gen_fn","bic_a1","nknots_a1","p_a1","bic_a2","nknots_a2","p_a2","bic_diff","nknots_diff","p_diffs"
"3","1",2000,250,"Runge",-354.975518804135,4,0.00317851798770757,-407.868789952968,3,0.00110427146722747,52.8932711488336,1,0.0020742465204801
"3","1",2000,250,"Runge",-419.869696820708,4,0.00134120007683789,-456.107443588884,3,0.000588904634993665,36.2377467681757,1,0.000752295441844227
"3","1",2000,250,"Runge",-399.979411023088,2,0.000558524306000539,-399.979411023088,2,0.000558524306000541,0,0,-1.40946282423116e-18
"3","1",2000,250,"Runge",-378.590507130615,4,0.00111885556344368,-414.822510882745,3,0.000361608502624887,36.2320037521303,1,0.000757247060818792
"3","1",2000,250,"Runge",-379.412749466462,4,0.0017654353950796,-401.403729720175,3,0.000588193739296217,21.9909802537128,1,0.00117724165578339
"3","1",2000,250,"Runge",-438.940526808778,2,0.000301261258829439,-438.940526808778,2,0.000301261258829437,0,0,2.65629532258949e-18
"3","1",2000,250,"Runge",-305.278387618712,4,0.0031111107819122,-362.487173208426,3,0.000506578710285574,57.2087855897144,1,0.00260453207162663
"3","1",2000,250,"Runge",-379.627714550769,4,0.00183389843347322,-405.388033464457,3,0.00106184154111228,25.7603189136871,1,0.000772056892360942
"3","1",2000,250,"Runge",-372.617583710979,4,0.00182365761138797,-372.617583710979,4,0.00182365761138799,-2.27373675443232e-13,0,-2.08166817117217e-17
"3","1",2000,250,"Runge",-403.583809495054,2,0.00196136791187709,-435.970572466689,3,0.000497681177370531,32.3867629716351,-1,0.00146368673450656
"3","1",2000,250,"Runge",-394.92098525469,2,0.0010272597977539,-412.266139761016,3,0.000707488875853018,17.3451545063262,-1,0.000319770921900883
"3","1",2000,250,"Runge",-381.880039374447,2,0.0013500703765319,-390.114899902644,3,0.000864907596876527,8.23486052819635,-1,0.000485162779655368
"3","1",2000,250,"Runge",-382.69188084689,4,0.00163597130821025,-411.914904710358,3,0.000638601289078372,29.2230238634683,1,0.000997370019131874
"3","1",2000,250,"Runge",-382.163169469177,2,0.00164313946149812,-392.305692443724,4,0.00111123150708035,10.1425229745475,-2,0.00053190795441777
"3","1",2000,250,"Runge",-372.292971217777,2,0.000879200928802328,-372.292971217777,2,0.000879200928802324,0,0,3.46944695195361e-18
"3","1",2000,250,"Runge",-394.180573001059,4,0.00157348100395951,-407.656416077197,3,0.00125249406172196,13.4758430761379,1,0.000320986942237545
"3","1",2000,250,"Runge",-335.014299923206,4,0.00216882770128892,-376.281126447126,4,0.00105144649795741,41.2668265239198,0,0.00111738120333152
"3","1",2000,250,"Runge",-331.14930612841,4,0.00370685011472796,-381.187996494815,3,0.000741362173026736,50.0386903664049,1,0.00296548794170123
"3","1",2000,250,"Runge",-379.242524223252,4,0.002190906564294,-428.35161128987,3,0.000540931376173619,49.1090870666176,1,0.00164997518812038
"3","1",2000,250,"Runge",-381.765950292536,2,0.00134132925709624,-381.765950292536,2,0.00134132925709624,-2.27373675443232e-13,0,1.95156391047391e-18
"3","1",2000,250,"Runge",-361.232365985654,4,0.00320328539023678,-434.386104325104,3,0.000325922111739299,73.1537383394501,1,0.00287736327849748
"3","1",2000,250,"Runge",-340.537330180491,4,0.00203340184220509,-398.35380535067,3,0.000323702487766351,57.8164751701792,1,0.00170969935443874
